year,players,positions,height,weight,team,nationality
2015,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2016,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2016,Chris Bosh,Chris Bosh,6-11,235,Miami Heat,United States
2016,Jimmy Butler,Jimmy Butler,6-8,232,Chicago Bulls,United States
2016,DeMar DeRozan,DeMar DeRozan,6-6,220,Toronto Raptors,United States
2016,Andre Drummond,Andre Drummond,6-10,280,Detroit Pistons,United States
2016,Pau Gasol,Pau Gasol,7-0,250,Chicago Bulls,Spain
2016,Paul George,Paul George,6-8,220,Indiana Pacers,United States
2016,Al Horford,Al Horford,6-9,240,Atlanta Hawks,Dominican RepublicUnited States
2016,LeBron James,LeBron James,6-8,250,Cleveland Cavaliers,United States
2016,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2016,Paul Millsap,Paul Millsap,6-7,250,Atlanta Hawks,United States
2016,Isaiah Thomas,Isaiah Thomas,5-9,185,Boston Celtics,United States
2016,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2016,John Wall,John Wall,6-4,210,Washington Wizards,United States
2016,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,San Antonio Spurs,United States
2016,Kobe Bryant,Kobe Bryant,6-6,212,Los Angeles Lakers,United States
2016,DeMarcus Cousins,DeMarcus Cousins,6-11,270,Sacramento Kings,United States
2016,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2016,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2016,Kevin Durant,Kevin Durant,6-10,225,Oklahoma City Thunder,United States
2016,Draymond Green,Draymond Green,6-6,235,Golden State Warriors,United States
2016,James Harden,James Harden,6-5,220,Houston Rockets,United States
2016,Kawhi Leonard,Kawhi Leonard,6-7,225,San Antonio Spurs,United States
2016,Chris Paul,Chris Paul,6-0,175,Los Angeles Clippers,United States
2016,Klay Thompson,Klay Thompson,6-6,215,Golden State Warriors,United States
2016,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2017,DeMarcus Cousins,DeMarcus Cousins,6-11,270,Sacramento Kings,United States
2017,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2017,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2017,Kevin Durant,Kevin Durant,6-10,225,Golden State Warriors,United States
2017,Marc Gasol,Marc Gasol,7-1,255,Memphis Grizzlies,Spain
2017,Draymond Green,Draymond Green,6-6,235,Golden State Warriors,United States
2017,James Harden,James Harden,6-5,220,Houston Rockets,United States
2017,Gordon Hayward,Gordon Hayward,6-7,230,Utah Jazz,United States
2017,DeAndre Jordan,DeAndre Jordan,6-11,265,Los Angeles Clippers,United States
2017,Kawhi Leonard,Kawhi Leonard,6-7,225,San Antonio Spurs,United States
2017,Klay Thompson,Klay Thompson,6-6,215,Golden State Warriors,United States
2017,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2017,Giannis Antetokounmpo,Giannis Antetokounmpo,6-11,242,Milwaukee Bucks,GreeceNigeria
2017,Carmelo Anthony,Carmelo Anthony,6-8,240,New York Knicks,United States
2017,Jimmy Butler,Jimmy Butler,6-8,232,Chicago Bulls,United States
2017,DeMar DeRozan,DeMar DeRozan,6-6,220,Toronto Raptors,United States
2017,Paul George,Paul George,6-8,220,Indiana Pacers,United States
2017,Kyrie Irving,Kyrie Irving,6-2,195,Cleveland Cavaliers,United StatesAustralia
2017,LeBron James,LeBron James,6-8,250,Cleveland Cavaliers,United States
2017,Kevin Love,Kevin Love,6-8,247,Cleveland Cavaliers,United States
2017,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2017,Paul Millsap,Paul Millsap,6-7,250,Atlanta Hawks,United States
2017,Isaiah Thomas,Isaiah Thomas,5-9,185,Boston Celtics,United States
2017,Kemba Walker,Kemba Walker,6-0,184,Charlotte Hornets,United States
2017,John Wall,John Wall,6-4,210,Washington Wizards,United States
2018,Giannis Antetokounmpo,Giannis Antetokounmpo,6-11,242,Milwaukee Bucks,GreeceNigeria
2018,Jimmy Butler,Jimmy Butler,6-8,232,Minnesota Timberwolves,United States
2018,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2018,DeMar DeRozan,DeMar DeRozan,6-6,220,Toronto Raptors,United States
2018,Joel Embiid,Joel Embiid,7-0,280,Philadelphia Sixers,Cameroon
2018,Draymond Green,Draymond Green,6-6,235,Golden State Warriors,United States
2018,James Harden,James Harden,6-5,220,Houston Rockets,United States
2018,Al Horford,Al Horford,6-9,240,Boston Celtics,Dominican RepublicUnited States
2018,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2018,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2018,Klay Thompson,Klay Thompson,6-6,215,Golden State Warriors,United States
2018,Karl-Anthony Towns,Karl-Anthony Towns,7-0,250,Minnesota Timberwolves,United StatesDominican Republic
2018,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,San Antonio Spurs,United States
2018,Bradley Beal,Bradley Beal,6-3,207,Washington Wizards,United States
2018,DeMarcus Cousins,DeMarcus Cousins,6-11,270,New Orleans Pelicans,United States
2018,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2018,Goran Dragic,Goran Dragic,6-3,190,Miami Heat,Slovenia
2018,Andre Drummond,Andre Drummond,6-10,280,Detroit Pistons,United States
2018,Kevin Durant,Kevin Durant,6-10,225,Golden State Warriors,United States
2018,Paul George,Paul George,6-8,220,Oklahoma City Thunder,United States
2018,Kyrie Irving,Kyrie Irving,6-2,195,Boston Celtics,United StatesAustralia
2018,LeBron James,LeBron James,6-8,250,Cleveland Cavaliers,United States
2018,Kevin Love,Kevin Love,6-8,247,Cleveland Cavaliers,United States
2018,Victor Oladipo,Victor Oladipo,6-4,210,Indiana Pacers,United States
2018,Kristaps Porzingis,Kristaps Porzingis,7-3,240,New York Knicks,Latvia
2018,Kemba Walker,Kemba Walker,6-0,184,Charlotte Hornets,United States
2018,John Wall,John Wall,6-4,210,Washington Wizards,United States
2018,Russell Westbrook,Russell Westbrook,6-3,200,Oklahoma City Thunder,United States
2019,LaMarcus Aldridge,LaMarcus Aldridge,6-11,265,San Antonio Spurs,United States
2019,Bradley Beal,Bradley Beal,6-3,207,Washington Wizards,United States
2019,Anthony Davis,Anthony Davis,6-10,253,New Orleans Pelicans,United States
2019,Kevin Durant,Kevin Durant,6-10,225,Golden State Warriors,United States
2019,James Harden,James Harden,6-5,220,Houston Rockets,United States
2019,Kyrie Irving,Kyrie Irving,6-2,195,Boston Celtics,United StatesAustralia
2019,LeBron James,LeBron James,6-8,250,Los Angeles Lakers,United States
2019,Kawhi Leonard,Kawhi Leonard,6-7,225,Toronto Raptors,United States
2019,Damian Lillard,Damian Lillard,6-2,195,Portland Trail Blazers,United States
2019,Ben Simmons,Ben Simmons,6-10,240,Philadelphia Sixers,Australia
2019,Klay Thompson,Klay Thompson,6-6,215,Golden State Warriors,United States
2019,Karl-Anthony Towns,Karl-Anthony Towns,7-0,250,Minnesota Timberwolves,United StatesDominican Republic
2019,Dwyane Wade,Dwyane Wade,6-4,220,Miami Heat,United States
2019,Giannis Antetokounmpo,Giannis Antetokounmpo,6-11,242,Milwaukee Bucks,GreeceNigeria
2019,Stephen Curry,Stephen Curry,6-3,193,Golden State Warriors,United States
2019,Joel Embiid,Joel Embiid,7-0,280,Philadelphia Sixers,Cameroon
2019,Paul George,Paul George,6-8,220,Oklahoma City Thunder,United States
2019,Blake Griffin,Blake Griffin,6-9,246,Detroit Pistons,United States
2019,Nikola Jokic,Nikola Jokic,7-0,284,Denver Nuggets,Serbia
2019,Kyle Lowry,Kyle Lowry,6-1,196,Toronto Raptors,United States
2019,Khris Middleton,Khris Middleton,6-8,222,Milwaukee Bucks,United States
2019,Dirk Nowitzki,Dirk Nowitzki,7-0,245,Dallas Mavericks,Germany
2019,Victor Oladipo,Victor Oladipo,6-4,210,Indiana Pacers,United States
2019,D'Angelo Russell,D'Angelo Russell,6-4,193,Brooklyn Nets,United States
2019,Nikola Vucevic,Nikola Vucevic,7-0,260,Orlando Magic,SwitzerlandMontenegro
