college,colors
Fresno State,#CC0033
Friends Falcons,#AB0635
Furman University,#582C83
Gallaudet Bison,#002A5C
Gannon Golden Knights,#960A2C
Gardner-Webb University,#A6192E
George Fox Bruins,#081E3F
George Mason Patriots,#006633
George Washington Colonials,#00264A
Georgetown,#041E42
Georgetown Tigers,#000000
Georgia Bulldogsaka Georgia Lady Bulldogsaka Georgia Gymdogs,#BA0C2F
Georgia College Bobcats,#003399
Georgia Southern Eagles,#011E41
Georgia Southwestern State Hurricanes,#1C3F7B
Georgia State Panthers,#0039A6
Georgia Tech,#B3A369
Gonzaga,#041E42
Gordon Fighting Scots,#003882
Graceland Yellowjackets,#00275C
Grambling State Tigers,#000000
Grand Canyon Antelopes,#522398
Grand Valley State Lakers,#0033A0
Grantham Talons,#003366
Great American Conference,#002B5C
Great Lakes Intercollegiate Athletic Conference,#1D3D66
Great Midwest Athletic Conference,#005288
Great Plains Athletic Conference,#670000
Green Bay Phoenixaka UW-Green Bay Phoenix,#006A4D
Guilford College,#000000
Gustavus Adolphus Gustiesaka Gustavus Adolphus Golden Gusties,#000000
Hamilton Continentals,#002f86
Hamline Pipers,#95021e
Hampden–Sydney Tigersaka Hampden-Sydney Tigers,#9D183D
Hampton Pirates,#265198
Harding Bisons,#000000
Hardin–Simmons Cowboysaka Hardin-Simmons Cowgirlsaka Hardin-Simmons Cowboys,#581483
University of Hartford,#C02427
Hartwick Hawks,#0033A1
Harvard Crimson,#A31F36
Haverford Fords,#9D2235
Hawaii Pacific Sharks,#007298
Hawaii Rainbow Warriorsaka Hawaii Warriorsaka Hawaii Rainbowsaka Hawaii Rainbow Wahine,#024731
Hawaii–Hilo Vulcansaka Hawaii-Hilo Vulcans,#D81E05
Heart of America Athletic Conference,#002D72
Henderson State Reddiesaka Henderson-Brown Reddies,#A91D36
High Point Panthers,#330072
Hilbert Hawks,#0071CE
Hillsdale Chargers,#004678
Hobart Statesmen,#472663
Hockey East Associationaka Hockey East,#003882
Hofstra Pride,#003591
Holy Cross Crusaders,#602D89
Holy Names Hawks,#C70021
Houston Baptist Huskies,#00529C
Houston,#C92A39
Howard Bison,#003A63
Humboldt State Lumberjacks,#046A38
Hutchinson Blue Dragons,#D9293E
IUP Crimson Hawks,#9E1B32
IUPUI Jaguars,#990000
Idaho State Bengals,#F47920
Idaho Vandals,#F1B300
Illinois College Blueboysaka Illinois College Lady Blues,#004A77
Illinois,#13294B
Illinois State,#CE142B
Incarnate Word Cardinals,#CB333B
Independence Bowl,#211747
Indiana,#990000
Indiana State Sycamores,#0C4C91
Indiana Tech Warriors,#FA4616
Indianapolis Greyhounds,#9D2136
Iona College,#661E2B
Iowa,#000000
Iowa State,#822433
Ithaca Bombers,#003B71
Ivy League,#01563F
Jackson State Tigers,#002147
Jacksonville Dolphins,#004E42
Jacksonville State Gamecocks,#CC0000
James Madison Dukes,#450084
John Carroll Blue Streaks,#28334A
Johns Hopkins Blue Jays,#68ACE5
Johnson & Wales Wildcatsaka Johnson and Wales Wildcats,#004680
Johnson C. Smith Golden Bulls,#002D56
Kansas City Roosaka UMKC Kangaroos,#004B87
Kansas,#0051BA
Kansas State,#512888
Kansas Wesleyan Coyotes,#582C83
Kean Cougars,#003057
Keene State Owls,#C60C30
Kennesaw State Owls,#0B1315
Kent State Golden Flashes,#002664
Kentucky State Thorobredsaka Kentucky State Thorobrettes,#046A38
Kentucky,#0033A0
King's Monarchs,#CC0033
Kutztown Golden Bears,#782F40
Long Island University,#231F20
LIU Post Pioneers,#0E553f
LIU Sharksaka Long Island Sharks,#69B3E7
LSU,#461D7C
La Salle,#003057
x,#910029
Lake Erie Storm,#113D2A
Lake Forest Foresters,#c8102e
Lake Superior State Lakers,#003F87
Lamar Cardinalsaka Lamar Lady Cardinals,#E31937
