teams,colors,secondary
Converse Valkyriesaka Converse All–Stars,#3C1053,#DAAA00
Coppin State Eagles,#003056,#FFC915
Corban Warriors,#041E42,#F2A900
Cornell Big Red,#B31B1B,#222222
Cornell Rams,#523178,#010101
Cornerstone Golden Eaglesaka Cornerstone Comets,#13294B,#D9C89D
Cortland Red Dragonsaka Cortland State Red Dragons,#B91000,#000000
Cottey Comets,#3A5DAE,#FBDB65
Cotton Bowl Classic,#263764,#FDE71E
Covenant Fighting Scotsaka Covenant Lady Scots,#003DA5,#002855
Creighton Bluejays,#00235D,#005CA9
Crowley's Ridge Pioneers,#115740,#010101
Crown Stormaka Crown Royal Crusaders,#3C1053,#75787B
Culinary Institute of America Steels,#22693a,transpa
Culver–Stockton Wildcatsaka Culver-Stockton Wildcats,#003594,#010101
Cumberland Phoenixaka Cumberland Bulldogs,#98002E,#000000
Cumberlands Patriotsaka Cumberlands Indiansaka Cumberlands Lady Indiansaka Cumberlands Redhounds,#BA0C2F,#D0D3D4
Curry Colonels,#462c8d,#000000
D'Youville Saintsaka D'Youville Spartans,#B02424,#FFFFFF
Daemen Wildcatsaka Daemen Warriorsaka Daemen Demonsaka Daemen Golden Warriors aka Rosary Hill Angels,#0000FF,transpa
Dakota State Trojansaka Dakota State Lady T's,#003B5C,#00A9E0
Dakota Wesleyan Tigers,#004C97,#C1C6C8
Dallas Baptist Patriots,#0B1F2C,#C41230
Dallas Crusaders,#003A70,transpa
Dalton State Roadrunners,#00263A,#5B6770
Dartmouth Big Greenaka Dartmouth Indians,#00693E,#000000
Davenport Panthers,#D5160C,#000000
Davidson Wildcats,#000000,#BF0C26
Davis & Elkins Senatorsaka Davis and Elkins Senators,#C8102E,#010101
Davis Falconsaka Davis Lacy Swordsmenaka Davis Swordsmen,#5F249F,#010101
Dayton Flyers,#002F87,#D70036
De La Salle Green Archers,#00703C,transpa
DePaul Blue Demons,#054696,#E4002B
DePauw Tigers,#111C24,#FFCF01
DeSales Bulldogsaka DeSales Centaurs,#BA0C2F,#002855
Dean Bulldogsaka Dean Red Demons,#862633,#010101
Defiance Yellow Jacketsaka Defiance Lady Jackets,#512D6D,#F3DD6D
Delaware Fightin' Blue Hens,#00539F,#FFD200
Delaware State Hornets,#EE3124,#0099CC
Delaware Valley Aggies,#215732,#010101
Delta State Statesmenaka Delta State Lady Statesmen,#00753E,#000000
Denison Big Red,#A6192E,#010101
Denver Pioneers,#8B2332,#8B6F4B
Detroit Mercy Titansaka Detroit Titans,#A6093D,#002D72
Dickenson Red Devils,#DA291C,#010101
Dickenson State Blue Hawksaka Dickenson State Blue Chicks,#002D72,#C0C0C0
Dillard Bleu Devilsaka Dillard Lady Bleu Devilsaka Dillard Lady Blue Devilsaka Dillard Blue Devils,#003594,#B2B4B2
District of Columbia Firebirdsaka DC Lady Firebirdsaka DC Greenwaveaka District of Columbia Lady Firebirds,#76232F,#F1BE48
Dixie State Trailblazers,#BA1C21,#002649
Doane Tigers,#FF7900,#000000
Dominican Chargers,#010101,#C8102E
Dominican Penguinsaka Dominican Hounds,#000000,#FFB81D
Dominican Starsaka Dominican Rebels,#002855,#010101
Dort Defenders,#010101,#C69214
Drake Bulldogs,#003B73,#B2B4B3
Drew Rangers,#0C2340,#154734
Drexel Dragons,#07294D,#FFC600
Drury Panthers,#E31837,#6A737B
Dubuque Spartans,#002D72,#999999
Duke Blue Devilsaka Trinity Blue and White,#013088,transpa
Duquesne Dukes,#041E42,#BA0C2F
ECAC Hockey,#005189,#d40843
Earlham Quakers,#861F41,transpa
East Carolina Pirates,#582C83,#FFC72C
East Central Tigers,#000000,#FF5200
East Stroudsburg Warriors,#DB0436,#000000
East Tennessee State Buccaneersaka East Tennessee State Lady Buccaneers,#041E42,#FFC72C
East Texas Baptist Tigers,#081f2c,#ecbc00
Eastern Arizona Gila Monsters,#340265,transpa
Eastern Illinois Panthers,#003399,#B2B2B2
Eastern Kentucky Colonels,#4C151E,#B5B5B5
Eastern Michigan Eaglesaka Eastern Michigan Hurons,#046A38,#000000
Eastern New Mexico Greyhounds,#006633,#A7A9AC
Eastern Washington Eagles,#A10022,#000000
Edinboro Fighting Scots,#BB131A,#808080
Elmira Soaring Eagles,#3f1e6b,#86754d
Elon Phoenix,#73000A,#B59A57
Embry–Riddle Eaglesaka Embry-Riddle Eagles,#00549A,#FFCD4D
Emory & Henry Waspsaka Emory and Henry Wasps,#1B3D75,#D5AD28
Emory Eagles,#002878,#D28E00
Emporia State Hornetsaka Emporia State Lady Hornets,#231F20,#BB8D0A
Endicott Gulls,#00325b,#007c5a
Erskine Flying Fleet,#9C1C1F,#FFD65D
Evansville Purple Aces,#4C2683,#F68B1F
FEU Tamarawsaka FEU-D Baby Tamaraws,#006400,#FFD700
FIU Panthersaka Florida International Golden Panthersaka Florida International Panthersaka FIU Golden Panthers,#081E3F,#B6862C
Fairfield Stags,#E0143E,#231F20
Fairleigh Dickinson Knights,#B30838,#005596
Fayetteville State Broncosaka Fayetteville State Lady Broncos,#0067B1,transpa
Ferris State Bulldogs,#BA0C2F,#FFD043
Fiesta Bowl,#D91A32,#FFDE00
Findlay Oilers,#000000,#F47920
Finlandia Lions,#0060a9,#c0c2c4
Fitchburg State Falcons,#00563F,#E9AF2F
Flagler Saints,#A52238,#F4811F
Florida A&M Rattlersaka Florida A&M Lady Rattlers,#008344,#F4811F
Florida Atlantic Owlsaka FAU Owls,#003366,#CC0000
Florida Gators,#003087,#FA4616
Florida Gulf Coast Eagles,#004785,#00794C
Florida Southern Moccasins,#0060A9,#E03A3E
Florida State Seminoles,#782F40,#CEB888
Florida Tech Panthers,#770000,#9DA0A0
Fordham Rams,#700429,#838070
Fort Hays State Tigers,#000000,#FDB913
Fort Lewis Skyhawks,#000066,#FFCC33
Fort Valley State Wildcats,#003087,#EAAA00
Fort Wayne Mastodonsaka IPFW Mastodons,#003F87,#9B9B9C
Framingham State Rams,#EBAB00,transpa
Francis Marion Patriots,#193A80,#BB1A1A
Franklin Pierce Ravens,#A91938,#6D6E71
Fresno Pacific Sunbirds,#001F55,#FC5D00
Fresno State Bulldogs,#CC0033,#00235D
Friends Falcons,#AB0635,#444F51
Furman Paladinsaka Furman Hornetsaka Furman Purple Hurricane,#582C83,#A7A8AA
Gallaudet Bison,#002A5C,#CFAB7A
Gannon Golden Knights,#960A2C,#F9A72B
Gardner–Webb Runnin' Bulldogs,#A6192E,#000000
